ORDER_PLACED_DTTM,SEGMENT,TOTAL_NET_SALES,TOTAL_UNITS,PRICE,LIST_PRICE,RATING_AVG,RATING_CNT,TOTAL_CURRENT_ON_HAND
2022-12-05,Bird - Food,248.74,13.0,19.98,20.99,4.1111,9.0,161
2022-12-05,Bird - Habitat Accessories,45.019999999999996,8.0,13.45,20.93,7.5334,18.0,221
2022-12-05,Bird - Toys & Decor,8.39,1.0,8.39,8.39,3.0,4.0,93
2022-12-05,Bird - Treats,39.56,6.0,6.49,6.49,3.3333,6.0,13
2022-12-05,Cat - Biscuits & Crunchy Treats,109.93,36.0,2.94,0.0,4.6071,56.0,3484
2022-12-05,Cat - Brushes & Combs,1002.74,207.0,5.49,6.99,3.6139,562.0,1783
2022-12-05,Cat - Dry Food,1405.03,32.0,105.92000000000002,106.93,13.558,264.0,332
2022-12-05,Cat - Freeze-Dried Treats,35.17,4.0,10.99,16.69,4.6,50.0,97
2022-12-05,Cat - Soft & Chewy Treats,255.53,8.0,35.99,38.28,4.7143,7.0,273
2022-12-05,Cat - Spot Treatments,31.92,6.0,4.22,4.22,4.0139,72.0,2028
2022-12-05,Cat - Weight Management,841.3524,86.0,9.99,10.99,3.7365,406.0,2262
2022-12-05,Cat - Wet Food,2632.58,109.0,102.6,106.92,12.4224,205.0,1384
2022-12-05,Cat - Wet Food Toppings,645.56,43.0,14.98,22.86,3.9076,184.0,2381
2022-12-05,Dog - Apparel,139.99,11.0,54.26,0.0,12.7753,92.0,3475
2022-12-05,Dog - Balanced Nutrition,348.19,9.0,44.48,44.49,4.5766,111.0,207
2022-12-05,Dog - Beds,412.59000000000003,6.0,307.96000000000004,334.96000000000004,16.151,656.0,173
2022-12-05,Dog - Brain & Epilepsy Care,344.47,10.0,35.17,39.95,4.6889,45.0,75
2022-12-05,Dog - Containment,692.9200000000001,9.0,270.83,545.98,8.3783,1096.0,191
2022-12-05,Dog - Dental Kits,28.48,2.0,14.99,14.99,2.8571,14.0,105
2022-12-05,Dog - Dental Treats,29.83,3.0,9.6,10.98,4.9,10.0,169
2022-12-05,Dog - Deodorizers,41.9,2.0,16.0,21.75,3.2857,7.0,12
2022-12-05,Dog - Digestive Care,8503.2914,196.0,47.99,47.99,4.7897,195.0,2791
2022-12-05,Dog - Dry Food,183.98,2.0,91.99,91.99,4.4571,35.0,29
2022-12-05,Dog - Eye & Ear Grooming,1863.2,134.0,13.99,16.99,4.4984,309.0,3947
2022-12-05,Dog - Freeze-Dried & Dehydrated Food Toppings,384.91,11.0,43.99,43.99,4.3874,111.0,598
2022-12-05,Dog - Gear,461.3,7.0,175.99,39.99,9.251999999999999,257.0,143
2022-12-05,Dog - Harnesses,30.94,6.0,9.35,0.0,4.2157,51.0,778
2022-12-05,Dog - Indulgent Treats,832.3331000000001,137.0,45.03,52.63,24.8925,481.0,5801
2022-12-05,Dog - Leashes,11.73,1.0,11.78,16.99,3.6667,9.0,10
