ORDER_PLACED_DTTM,PRODUCT_PART_NUMBER,TOTAL_UNITS,LIST_PRICE,RATING_AVG,RATING_CNT,TOTAL_CURRENT_ON_HAND
2022-12-06,139289,109.0,31.69,4.7883,548.0,1249
2022-12-07,139289,64.0,31.69,4.7887,549.0,1203
2022-12-08,139289,66.0,31.69,4.7891,550.0,1267
2022-12-09,139289,102.0,31.69,4.7891,550.0,1366
2022-12-10,139289,79.0,31.69,4.7891,550.0,1491
2022-12-11,139289,80.0,31.69,4.7891,550.0,1711
2022-12-12,139289,82.0,31.69,4.7891,550.0,1636
2022-12-13,139289,95.0,31.69,4.7891,550.0,1641
2022-12-14,139289,88.0,31.69,4.7891,550.0,1571
2022-12-15,139289,75.0,31.69,4.7891,550.0,1604
2022-12-16,139289,68.0,31.69,4.7891,550.0,1646
2022-12-17,139289,83.0,31.69,4.7891,550.0,1571
2022-12-18,139289,74.0,31.69,4.7891,550.0,1495
2022-12-19,139289,75.0,31.69,4.7891,550.0,1418
2022-12-20,139289,88.0,31.69,4.7895,551.0,1438
2022-12-21,139289,73.0,31.69,4.7895,551.0,1475
2022-12-22,139289,78.0,31.69,4.7895,551.0,1247
2022-12-23,139289,67.0,31.69,4.7895,551.0,1470
2022-12-24,139289,49.0,31.69,4.7895,551.0,1405
2022-12-25,139289,18.0,31.69,4.7895,551.0,1387
2022-12-26,139289,67.0,31.69,4.7895,551.0,1328
2022-12-27,139289,90.0,31.69,4.7895,551.0,1246
2022-12-28,139289,111.0,31.69,4.7899,552.0,1330
2022-12-29,139289,76.0,31.69,4.7899,552.0,1276
2022-12-30,139289,85.0,31.69,4.7899,552.0,1401
2022-12-31,139289,81.0,31.69,4.7899,552.0,1330
2023-01-01,139289,74.0,31.69,4.7899,552.0,1255
2023-01-02,139289,89.0,31.69,4.7899,552.0,1163
2023-01-03,139289,68.0,31.69,4.7899,552.0,1297
2023-01-04,139289,95.0,31.69,4.7899,552.0,1227
2023-01-05,139289,114.0,31.69,4.7899,552.0,1204
2023-01-06,139289,89.0,31.69,4.7899,552.0,1114
2023-01-07,139289,71.0,31.69,4.7899,552.0,1040
2023-01-08,139289,70.0,31.69,4.7899,552.0,1268
2023-01-09,139289,105.0,31.69,4.7899,552.0,1264
2023-01-10,139289,72.0,31.69,4.7899,552.0,1221
2023-01-11,139289,90.0,31.69,4.7899,552.0,1132
2023-01-12,139289,88.0,31.69,4.7899,552.0,1044
2023-01-13,139289,81.0,31.69,4.7906,554.0,967
2023-01-14,139289,103.0,31.69,4.7906,554.0,881
2023-01-15,139289,76.0,31.69,4.7906,554.0,805
2023-01-16,139289,79.0,31.69,4.7906,554.0,831
2023-01-17,139289,90.0,31.69,4.7906,554.0,780
2023-01-18,139289,73.0,31.69,4.7906,554.0,708
2023-01-19,139289,84.0,31.69,4.7906,554.0,653
2023-01-20,139289,87.0,31.69,4.7906,554.0,778
2023-01-21,139289,94.0,31.69,4.7906,554.0,894
2023-01-22,139289,103.0,31.69,4.7906,554.0,785
2023-01-23,139289,93.0,31.69,4.7906,554.0,814
2023-01-24,139289,78.0,31.69,4.7906,554.0,952
2023-01-25,139289,94.0,31.69,4.7906,554.0,896
2023-01-26,139289,73.0,31.69,4.7906,554.0,1097
2023-01-27,139289,89.0,31.69,4.7906,554.0,1017
2023-01-28,139289,70.0,31.69,4.7906,554.0,948
2023-01-29,139289,78.0,31.69,4.7906,554.0,1079
2023-01-30,139289,116.0,31.69,4.7906,554.0,1076
2023-01-31,139289,105.0,31.69,4.791,555.0,970
2023-02-01,139289,127.0,31.69,4.7914,556.0,846
